id,title,content,excerpt,createdAt,updatedAt,forumName,forumAlias,gender,topics 
230134232,#露華濃#試色#5隻,"https://i.imgur.com/eUwAyTI.jpg
*圖片都是薄擦一至兩層
*無濾鏡/只有稍微調高亮度讓照片接近實際顏色
*不太清楚怎麼只磨唇周的皮，所以有點小瑕疵請包含(ಥ_ಥ)

第一位唇膏👄
240 Sandalwood Beige 
擦上去是秋冬的奶茶色，唇色淺的女孩可以收了他，今天在小屈看到馬上敗了一隻( ͡° ͜ʖ ͡°)
https://i.imgur.com/4CoPF7a.jpg
第二位唇膏👄
525 Wine With Everything 
這隻是漂亮的深紅色，非常顯色!!! 
是個薄擦也不適合淡妝的妖艷寶寶(◡‿◡✿)
https://i.imgur.com/Nm0M8Cc.jpg
第三位唇膏👄
671 Mink 
喜歡特殊色的女孩看這隻!!!
是個很巧克力的巧克力色，但唇況不好的時候「絕對一定不可以」擦，不然很像偷吃巧克力擦不乾淨(深深被這隻唇膏欺負過)https://i.imgur.com/ZuisH34.jpg
第四位唇膏👄
325 Toast of New York
版上的女孩應該化妝包裡都有一隻(!)
薄擦有溫柔歐逆的感覺，厚擦篇橘紅色
(實際比照片再橘一點，照片看起來跟240有點像，但真的很不同)https://i.imgur.com/bWYyMhU.jpg
第五位唇膏👄
015 Seductive Sienna (Matte)
唯一一支霧面的，但神奇的是不會像其他霧面唇膏感覺嘴巴乾乾的(•ө•)
是個偏棕的暗紅色，比起上面的幾隻它比較容易斑駁，所以不適合疊擦太多層。https://i.imgur.com/JguA4ms.jpg

加碼的第六位唇膏👄
041 Gold Goddess 
這隻沒有唇部試色( ิ◕㉨◕ ิ)
因為他是拿來疊擦用的~所以單擦它太可怕了😂喜歡金屬感的話這隻很可以，跟以上的所有唇膏疊起來都有很不同的感覺，如果只擦在唇峰的話也會有嘟嘟唇的感覺(•‾⌣‾•)

最後是全部的手部試色，謝謝大家看完(｡･㉨･｡)
https://i.imgur.com/5MIUWFm.jpg",*圖片都是薄擦一至兩層，*無濾鏡/只有稍微調高亮度讓照片接近實際顏色，*不太清楚怎麼只磨唇周的皮，所以有點小瑕疵請包含（ಥ_ಥ），第一位唇膏，240 Sandalwood Beige，擦上去是秋冬的奶茶色，唇色淺的女孩可以收了他，今天在小屈看到馬上敗了一隻（ ͡° ͜ʖ ͡°）,2018-11-24T16:11:45.409Z,2018-11-24T16:11:45.409Z,美妝,makeup,F,
230134022,荷包好瘦💸之碧兒泉超簡單分享,"上個月週年慶馬上遇到雙11好可怕...
就來簡單分享一下週年慶保養品部分⬇️

BIOTHREM碧兒泉

先來張大合照 ～他們家保養算是比較好入手
先介紹幾樣主要的 小樣的有興趣在問我～
https://i.imgur.com/NY6X0i9.jpg







https://i.imgur.com/AFmaqcH.jpg
✔️ 晶透奇蹟水&修護奇蹟水
  這兩罐真的長很像不仔細看還分不出來😂而且超多人推
晶透奇蹟水是早上用 修護是晚上～他算是前導精華 用了一個月左右保濕很有感👍🏻吸收也很快用的時候搖一搖用拍的 拍完會覺得臉發光哈哈



https://i.imgur.com/JjM7tO0.jpg
✔️ 奇蹟活源乖乖乳
這罐我超愛❤️但...我一直以來把他當乳液 後來才發現油脂只有一般乳液的一半也算是前導精華乳 他可以讓乾燥泛紅的肌膚得到改善最近換季月有他就很夠👍🏻👍🏻👍🏻
https://i.imgur.com/7UQ0EcG.jpg
推開後質地🔝




https://i.imgur.com/a2rUjcP.jpg
✔️水光保濕雙精華
也是一個被網友燒到不行必買的精華 
他是雙層用的時候也是要搖一搖 
而且裡面水光泡泡好美🤣
用完奇蹟水在使用他 剛開始覺得莫名有點油但後面吸收後又還好反而非常保濕冬天夠力👍🏻





https://i.imgur.com/s4uHNHs.jpg
✔️水光草保濕凝凍
跟精華比起來我更喜歡這罐 用起來很清爽而且超保濕有種馬上鎖水保水的感覺 很推薦給年輕肌膚的咱們啊～
https://i.imgur.com/se6uLUw.jpg
推開後質地🔝





🛍心得總結🛍
還沒用碧兒泉之前一直都是契爾氏腦粉 
但他週年慶怎麼算起來優惠都不太可愛
看到我朋友用就跟著轉戰買起來！
ㄧ試愛上不浮誇～價格以專櫃保養來說算蠻好入手 而且送超多小樣入會禮跟生日禮都很讚👍🏻
大嬸心態的我馬上圈粉😍 

⬆️以上不專業心得分享～感謝水水們觀看啦🎉",上個月週年慶馬上遇到雙11好可怕...，就來簡單分享一下週年慶保養品部分⬇️，BIOTHREM碧兒泉，先來張大合照 ～他們家保養算是比較好入手，先介紹幾樣主要的 小樣的有興趣在問我～️ 晶透奇蹟水&修護奇蹟水,2018-11-24T15:55:46.497Z,2019-04-09T14:47:58.621Z,美妝,makeup,F,
230133869,香水味道,"請問有人用過 A&F同名經典男性淡香水 嗎？
覺得怎麼樣呢？（自己跟周遭朋友😁
目前使用 Versace經典男性淡香水",請問有人用過 A&F同名經典男性淡香水 嗎？覺得怎麼樣呢？（自己跟周遭朋友，目前使用 Versace經典男性淡香水,2018-11-24T15:42:36.344Z,2018-11-24T15:42:36.344Z,美妝,makeup,M,
230133628,L’Oréal純色訂製唇膏柔霧版,"想請問大家用這隻的時候
大概過3小時左右會斑駁的很嚴重嗎
當時在板上被燒到立馬購入
雖然我斑駁的嚴重但顏色還是很美不想放棄🤧
https://i.imgur.com/0d6GptS.jpg
https://i.imgur.com/0FEVU9t.jpg",想請問大家用這隻的時候，大概過3小時左右會斑駁的很嚴重嗎，當時在板上被燒到立馬購入，雖然我斑駁的嚴重但顏色還是很美不想放棄🤧,2018-11-24T15:24:59.907Z,2018-11-24T15:24:59.907Z,美妝,makeup,F,
230133354,Essence超美偏光打亮餅 新品🔥,"美妝首發(●°u°●)​
太美了所以剛入手就衝來發文分享🤤
之前被芋頭酥打亮燒了熊熊一把大火
但是 一個月去4次寶雅
就是買不到！！(;´༎ຶД༎ຶ`)
每次只能羨慕嫉妒看著別人發文分享⋯
這次換我燒妳們了🔥🔥

我不確定是多久的新品，但是上次沒在櫃上看到
一瞄到這閃亮亮跟一般款不一樣的包裝
我心裡一個登登！這在搞事情啊！

Essence
絕對必備彩光打亮餅02&03✨（2g)
https://i.imgur.com/WFO1tN4.jpg
看看這包裝！
每次看到這種霓虹包裝都覺得很美🤤

https://i.imgur.com/2ncbDhu.jpg
美美特寫
想等到下次化妝再打開🤤

再來是試色！
https://i.imgur.com/etq2oYr.jpg
抱歉沒辦法拍出它的美😭😭
從右到左的色號是
01 02 03 和一款舊眼影（沒仔細看色號😥）

01是偏暖金色，我只試了一點點
02仔細看會是粉紅+紫 偏冷色
03就是最想要的藍紫偏光🤤，比刻畫在我腦袋中的芋頭酥顏色更飽和（圖片擦了2層）
所以只需要用一點點點
最左邊的眼影，也可以當一個囂張的亮白色打亮，但看得出顆粒比新打亮餅大一點點
粉質摸起來沒有很細，沒關係啊你很美！

發票一顆NT.78
寵愛點數快到期扣一扣，一顆大概60🥰
平均稍微比芋頭酥貴一點點⋯
但這樣就夠我用到找到下個新歡為止吧🤪

時尚暈染刷
https://i.imgur.com/qJnSxON.jpg
一起買的暈染刷，這系列應該前陣子就有了
他們家的刷子雖然不是cp質最高
但是很便宜好用！（不過這支我打算上鼻影）
而且這系列豪美ㄚ
還有打亮刷、修容刷跟中型的眼影刷
可以去看看有沒有符合自己需求~

就先分享到這邊啦☺️",美妝首發（●°u°●）​，太美了所以剛入手就衝來發文分享🤤，之前被芋頭酥打亮燒了熊熊一把大火，但是 一個月去4次寶雅，就是買不到！！（；´༎ຶД༎ຶ`），每次只能羨慕嫉妒看著別人發文分享⋯，這次換我,2018-11-24T15:04:23.170Z,2019-08-06T02:35:06.612Z,美妝,makeup,F,
230133101,請益 沉穩木質香推薦 內有選手,"最近買了the saem和seventeen聯名的香水
我買的是圓佑口味的（？）

拿到手後味道真的是驚為天人的喜歡
非常非常舒服的味道 
感覺是很適合沉穩男生用的香水
https://i.imgur.com/XON7hKa.png

 我目前都當成睡香來用
因為持久力實在不是很好
大概3個小時就會沒味道了
所以我想找一隻味道很相似 
比較清新香調的香水~

我想應該是雪松和薰衣草很對我胃口
上網差發現很多雪松香調都會加柑橘
但個人超討厭柑橘味ㅜㅜ

目前是在選擇MIU MIU 綠色那罐
還有卡地亞之水
之前聞過小香也覺得不錯
Burberry家的倫敦也很多人推薦
但瓶子好醜（欸）

希望沒有錯版><
謝謝大家~",最近買了the saem和seventeen聯名的香水，我買的是圓佑口味的（？），拿到手後味道真的是驚為天人的喜歡，非常非常舒服的味道，感覺是很適合沉穩男生用的香水，我目前都當成睡香來用，因為持久力實在不是很好,2018-11-24T14:45:55.388Z,2018-11-24T14:48:43.636Z,美妝,makeup,F,
230132438,鬼打牆色系之口紅試色💄,"大家好🙌🏻 
今天想來跟大家分享一下我的愛用唇膏們
這是我第一次發文還望大家鞭小力一些QQ

廢話不多說讓我們來看看選手們吧！
-
L’oreal 623
https://i.imgur.com/ObCKsVf.jpg
L’oreal 623我覺得質地算是比較滑順的 擦起來的感覺很像口紅+護唇膏 如果怕顯卡唇紋的朋友我覺得可以試試看這一隻口紅唷(灬ºωº灬)♡
-
maybelline 西柚磚紅
https://i.imgur.com/FY3XCow.jpg
西柚磚紅可以說是我的愛將餒(⑉• •⑉)‥♡ 我個人很喜歡霧面的感覺 他擦起來是滑得但是在嘴唇上又會呈現一種霧面感覺 讓我很愛😍
-
Missha MRD02
https://i.imgur.com/P7Lnnn0.jpg
這是我第一隻入手的磚紅色啊啊啊！他的質地是霧面的 味道也很特別 不會太香 聞起來淡淡的我很喜歡(˶‾᷄ ⁻̫ ‾᷅˵) 而且他瓶身是透明的 讓我覺得很有質感❤️
-
CILO 19 磚紅罌栗花
https://i.imgur.com/UbzGwEO.jpg
這一隻是高跟鞋唇膏 質地是霧面的 我記得當時我是被Gina燒到的哈哈哈 而且他還是按壓式的 是個很貼心的設計(˶‾᷄ ⁻̫ ‾᷅˵) 不過我覺得他顏色會比其他隻再紅一些些。下手太重的話很可能會變大紅色！
-
Essence #12
https://i.imgur.com/HIn3wFR.jpg
不知為何的Essence家的東西都很便宜 但是真的品質不差 這一隻口紅才99元！雖說外觀並沒有很起眼 但是這一隻顏色也是很美的(˵¯͒〰¯͒˵)  口紅質地是滑的 順帶一提我覺得這隻口紅味道很甜 每次都很想偷舔一下😝😝
-
Essence #14
https://i.imgur.com/fNYsHrB.jpg
這隻一樣是99元 但是他跟上一隻12色號 我覺得這一隻顏色深了許多 建議用暈開的效果會比較好 不然一個不小心就⋯ 我駕馭不住啦🤣 不過這真的是一個很優雅顏色 還是推薦給大家❤️
-
Mac chili
https://i.imgur.com/ZnD0aiv.jpg
Chili真的是我的No.1 而且不管是薄擦跟後擦都很顯白❤️❤️ 對我來說口紅越新我就越愛 但是chili永遠都在我的隨身包裡面啊😂 還沒購買過的朋友真的可以試試看！
-
Mac devoted to chili 
https://i.imgur.com/mYISqlO.jpg
這一隻是chili的姐妹色 整體來說都很霧😂 而且顏色沒有chili那麼的紅 怕chili駕馭不住的朋友可以先來使用這隻看看❤️❤️ 
-
最後再上個手臂試色圖
https://i.imgur.com/3FLyZ0z.jpg
這樣看下來應該還是有差別的對吧| ू•ૅω•́)ᵎᵎᵎ
口紅當中真的不能少了磚紅色呀！！
最後
謝謝大家的收看 也歡迎大家指教&分享❤️❤️",大家好，今天想來跟大家分享一下我的愛用唇膏們，這是我第一次發文還望大家鞭小力一些QQ，廢話不多說讓我們來看看選手們吧！，-，L’oreal 623，L’oreal 623我覺得質地算是比較滑順的 擦起來的感覺很像口紅+護唇膏 如果怕顯卡唇紋的朋友我覺得可以試試看這一隻口紅唷（灬ºωº灬）,2018-11-24T13:53:36.452Z,2018-11-24T13:55:46.095Z,美妝,makeup,F,
230132227,Kiehl’s 聖誕節限量版*開箱,"今天去百貨公司靠櫃～
本來只想買一罐金盞花化妝水的聖誕節特別包裝的，但一不小心就買到可以裝禮盒了!!🎁
👉🏻廢話不多說趕快來開箱😍😍😍
https://i.imgur.com/KJGm4eH.jpg
今年#Kiehl’s 聖誕節禮盒真的好可愛＞＜
🌟🌟滿滿的星星🌟🌟
禮盒只要有滿2000就可以帶回家（棒👍🏻
除了外面有精美的緞帶外🎀
裡面還撒上乾燥玫瑰花瓣🌹
一打開禮盒、撲鼻的是⋯滿滿的玫瑰香氣四溢❤️
/
主要是250ml金盞花化妝水的包裝有改成聖誕節包裝，由插畫家Andrew Bannecke設計(⁎⁍̴̛ᴗ⁍̴̛⁎)
冰河醣蛋白保濕霜也有特別的設計，但自己用不太習慣就沒有一起買了。
✨右邊冰河醣無油跟金盞花小樣，是一起買兩罐送的（不限買哪款）
✨櫃姐人很好，還送我激光極淨白系列的試用包全部一組，這個真的很爽～
https://i.imgur.com/asachkk.jpg
如果聖誕節拿Kiehl’s聖誕禮盒送人🎁
收到一定開心死哈哈哈哈😂😂😂
✨提醒大家如果要買聖誕節包裝的話，不能去還在週年慶的百貨公司喔！週年慶的專櫃不會一起賣聖誕節的產品，只有週年慶結束才會賣。
/
不專業開箱文結束(=´∀｀)人(´∀｀=)",今天去百貨公司靠櫃～本來只想買一罐金盞花化妝水的聖誕節特別包裝的，但一不小心就買到可以裝禮盒了！！，廢話不多說趕快來開箱，今年#Kiehl’s 聖誕節禮盒真的好可愛＞＜滿滿的星星，禮盒只要有滿2000就可以帶回家（棒,2018-11-24T13:38:11.265Z,2018-11-24T13:38:11.265Z,美妝,makeup,M,
230132081,好奇發問 片狀面膜,"不知道有沒有人跟我一樣？
敷完片狀面膜後，人中跟上嘴唇的部分會麻麻的
泥狀面膜就不會麻麻的

分享我最近喜歡的面膜
是夢妝的水仙花面膜
借用上次g市開箱照
藍色那個面膜就是我的❤️
敷完隔天會白白嫩嫩的
https://i.imgur.com/zqoieXa.jpg",不知道有沒有人跟我一樣？敷完片狀面膜後，人中跟上嘴唇的部分會麻麻的，泥狀面膜就不會麻麻的，分享我最近喜歡的面膜，是夢妝的水仙花面膜，借用上次g市開箱照，藍色那個面膜就是我的️，敷完隔天會白白嫩嫩的,2018-11-24T13:25:56.013Z,2018-11-24T13:25:56.013Z,美妝,makeup,F,
230131342,睛靈雙週拋,"想問問看有人用過“睛靈”的隱眼嗎？？
昨天去眼鏡行買隱眼，原本要買嬌生的，但店員說缺貨，所以推薦我睛靈雙週拋。

之前沒用過也沒聽過這一牌，想問問看評價~~",想問問看有人用過“睛靈”的隱眼嗎？？昨天去眼鏡行買隱眼，原本要買嬌生的，但店員說缺貨，所以推薦我睛靈雙週拋。之前沒用過也沒聽過這一牌，想問問看評價~~,2018-11-24T12:22:46.224Z,2018-11-24T12:22:46.224Z,美妝,makeup,F,
